Attribute	Norfolk	Hertfordshire	Buckinghamshire	Oxfordshire	Isle of Wight	Hampshire	North Yorkshire	Leicestershire	Lincolnshire	West Sussex	Wiltshire	West Berkshire	East Riding of Yorkshire	Surrey	Suffolk	Cornwall	Somerset	Greater London Authority	Dorset	Kent	East Sussex	Warwickshire	Worcestershire	North East Lincolnshire	Nottinghamshire	Carmarthenshire	County Durham	Doncaster	North Lincolnshire	Bedford	Cumbria	Northamptonshire	Shropshire	York	Cheshire East	Wakefield	Gloucestershire	Essex	Staffordshire	Milton Keynes	the Vale of Glamorgan	Cambridgeshire
Lincoln	-0.055570943	-0.023548258	-0.041050774	-0.058628426	-0.061123683	-0.07464262	0.002735993	0.147655754	0.161578862	-0.04441206	-0.041050774	-0.016624512	-0.041050774	-0.04441206	-0.076711843	-0.016624512	-0.016624512	-0.03340952	-0.028886938	-0.014652489	-0.03340952	-0.03340952	-0.028886938	-0.016624512	0.071496372	-0.016624512	-0.016624512	-0.023548258	0.092053044	-0.023548258	-0.016624512	-0.028886938	-0.028886938	-0.016624512	-0.023548258	-0.023548258	-0.016624512	-0.028886938	-0.016624512	-0.016624512	-0.016624512	-0.016624512
Norwich	0.291223312	-0.012945594	-0.022567557	-0.032230826	-0.033602587	-0.041034588	-0.032230826	-0.029325639	-0.049593552	-0.024415415	-0.022567557	-0.009139283	-0.022567557	-0.024415415	0.040590682	-0.009139283	-0.009139283	-0.018366797	-0.01588052	-0.037465897	-0.018366797	-0.018366797	-0.01588052	-0.009139283	-0.018366797	-0.009139283	-0.009139283	-0.012945594	-0.01588052	-0.012945594	-0.009139283	-0.01588052	-0.01588052	-0.009139283	-0.012945594	-0.012945594	-0.009139283	-0.01588052	-0.009139283	-0.009139283	-0.009139283	-0.009139283
Southwark	0.110159416	-0.006410256	-0.011174754	-0.015959705	0.184308459	-0.020319054	-0.015959705	-0.014521147	-0.024557188	-0.012089756	-0.011174754	-0.004525489	-0.011174754	-0.012089756	-0.020882334	-0.004525489	-0.004525489	-0.009094668	-0.007863541	-0.01855195	-0.009094668	-0.009094668	-0.007863541	-0.004525489	-0.009094668	-0.004525489	-0.004525489	-0.006410256	-0.007863541	-0.006410256	-0.004525489	-0.007863541	-0.007863541	-0.004525489	-0.006410256	-0.006410256	-0.004525489	-0.007863541	-0.004525489	-0.004525489	-0.004525489	-0.004525489
Totnes	-0.031921397	-0.007863541	-0.013708208	-0.019577967	-0.020411215	-0.024925635	-0.019577967	-0.01781327	-0.030124605	-0.014830653	-0.013708208	-0.005551473	-0.013708208	-0.014830653	-0.025616616	0.575502744	-0.005551473	-0.011156541	-0.009646302	-0.022757906	-0.011156541	-0.011156541	-0.009646302	-0.005551473	-0.011156541	-0.005551473	-0.005551473	-0.007863541	-0.009646302	-0.007863541	-0.005551473	-0.009646302	-0.009646302	-0.005551473	-0.007863541	-0.007863541	-0.005551473	-0.009646302	-0.005551473	-0.005551473	-0.005551473	-0.005551473
Malmesbury	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Lewes	0.07944881	-0.007863541	-0.013708208	-0.019577967	-0.020411215	-0.024925635	-0.019577967	-0.01781327	-0.030124605	-0.014830653	-0.013708208	-0.005551473	-0.013708208	-0.014830653	-0.025616616	-0.005551473	-0.005551473	-0.011156541	-0.009646302	-0.022757906	-0.011156541	-0.011156541	-0.009646302	-0.005551473	-0.011156541	-0.005551473	-0.005551473	-0.007863541	-0.009646302	-0.007863541	-0.005551473	-0.009646302	0.326902465	-0.005551473	-0.007863541	-0.007863541	-0.005551473	-0.009646302	-0.005551473	-0.005551473	-0.005551473	-0.005551473
Oxford	-0.026021909	-0.006410256	0.281231307	0.192846432	-0.016638958	-0.020319054	-0.015959705	-0.014521147	-0.024557188	-0.012089756	-0.011174754	-0.004525489	-0.011174754	-0.012089756	-0.020882334	-0.004525489	-0.004525489	-0.009094668	-0.007863541	-0.01855195	-0.009094668	-0.009094668	-0.007863541	-0.004525489	-0.009094668	-0.004525489	-0.004525489	-0.006410256	-0.007863541	-0.006410256	-0.004525489	-0.007863541	-0.007863541	-0.004525489	-0.006410256	-0.006410256	-0.004525489	-0.007863541	-0.004525489	-0.004525489	-0.004525489	-0.004525489
Worcester	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	0.575502744	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Wallingford	-0.026021909	-0.006410256	-0.011174754	-0.015959705	-0.016638958	-0.020319054	-0.015959705	-0.014521147	-0.024557188	-0.012089756	-0.011174754	-0.004525489	-0.011174754	-0.012089756	-0.020882334	-0.004525489	-0.004525489	-0.009094668	-0.007863541	0.163489057	-0.009094668	-0.009094668	-0.007863541	-0.004525489	-0.009094668	-0.004525489	-0.004525489	-0.006410256	-0.007863541	-0.006410256	-0.004525489	-0.007863541	-0.007863541	-0.004525489	-0.006410256	-0.006410256	-0.004525489	-0.007863541	-0.004525489	-0.004525489	-0.004525489	-0.004525489
Colchester	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	0.184283689	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
